dataset,classifier,test_ds_score,revealed_pct,revealed_pct_actual,train_size,test_size,num_classes,type,num_dim,balanced,train_length
ItalyPowerDemand,WEASEL,0.5335276968,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,CBoss,0.5014577259,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,PForest,0.5422740525,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,PForest,0.9591836735,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,PForest,0.5655976676000001,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,PForest,0.6987366375,20,25,67,1029,2,SENSOR,1,True,6
Libras,PForest,0.0722222222,10,11,180,180,15,HAR,2,True,5
Libras,PForest,0.0666666667,100,100,180,180,15,HAR,2,True,45
Libras,PForest,0.0833333333,30,33,180,180,15,HAR,2,True,15
Libras,PForest,0.044444444400000005,20,22,180,180,15,HAR,2,True,10
Libras,TSF,0.3833333333,10,11,180,180,15,HAR,2,True,5
Libras,TSF,0.5833333333,20,22,180,180,15,HAR,2,True,10
Libras,TSF,0.8055555556,100,100,180,180,15,HAR,2,True,45
Libras,TSF,0.6888888889,30,33,180,180,15,HAR,2,True,15
Libras,CBoss,0.27222222220000003,30,33,180,180,15,HAR,2,True,15
Libras,CBoss,0.8277777778000001,100,100,180,180,15,HAR,2,True,45
Libras,CBoss,0.0888888889,20,22,180,180,15,HAR,2,True,10
Libras,CBoss,0.05,10,11,180,180,15,HAR,2,True,5
Libras,WEASEL,0.2388888889,20,22,180,180,15,HAR,2,True,10
Libras,WEASEL,0.8666666667,100,100,180,180,15,HAR,2,True,45
Libras,WEASEL,0.1333333333,10,11,180,180,15,HAR,2,True,5
Libras,WEASEL,0.4388888889,30,33,180,180,15,HAR,2,True,15
Libras,ST,0.2388888889,30,33,180,180,15,HAR,2,True,15
Libras,ST,0.1277777778,20,22,180,180,15,HAR,2,True,10
Libras,ST,0.8666666667,100,100,180,180,15,HAR,2,True,45
Libras,ST,0.09444444440000001,10,11,180,180,15,HAR,2,True,5
Lightning2,TSF,0.6393442623000001,20,20,60,61,2,SENSOR,1,False,128
Lightning2,TSF,0.7049180328,100,100,60,61,2,SENSOR,1,False,637
Lightning2,TSF,0.5409836066,10,10,60,61,2,SENSOR,1,False,64
Lightning2,TSF,0.7049180328,30,30,60,61,2,SENSOR,1,False,192
Lightning2,ST,0.7049180328,100,100,60,61,2,SENSOR,1,False,637
Lightning2,ST,0.4590163934,20,20,60,61,2,SENSOR,1,False,128
Lightning2,ST,0.5409836066,10,10,60,61,2,SENSOR,1,False,64
Lightning2,ST,0.4918032787,30,30,60,61,2,SENSOR,1,False,192
Lightning2,CBoss,0.737704918,100,100,60,61,2,SENSOR,1,False,637
Lightning2,CBoss,0.5409836066,10,10,60,61,2,SENSOR,1,False,64
Lightning2,CBoss,0.5409836066,30,30,60,61,2,SENSOR,1,False,192
Lightning2,CBoss,0.5573770492,20,20,60,61,2,SENSOR,1,False,128
Lightning2,WEASEL,0.6721311475,100,100,60,61,2,SENSOR,1,False,637
Lightning2,WEASEL,0.5409836066,10,10,60,61,2,SENSOR,1,False,64
Lightning2,WEASEL,0.5901639344,20,20,60,61,2,SENSOR,1,False,128
Lightning2,WEASEL,0.6229508197,30,30,60,61,2,SENSOR,1,False,192
Lightning2,PForest,0.4426229508,10,10,60,61,2,SENSOR,1,False,64
Lightning2,PForest,0.5409836066,30,30,60,61,2,SENSOR,1,False,192
Lightning2,PForest,0.8360655738,100,100,60,61,2,SENSOR,1,False,637
Lightning2,PForest,0.5901639344,20,20,60,61,2,SENSOR,1,False,128
Lightning7,TSF,0.5068493151,20,20,70,73,7,SENSOR,1,False,64
Lightning7,TSF,0.7397260274,100,100,70,73,7,SENSOR,1,False,319
Lightning7,TSF,0.2602739726,10,10,70,73,7,SENSOR,1,False,32
Lightning7,TSF,0.5479452055,30,30,70,73,7,SENSOR,1,False,96
Lightning7,ST,0.1369863014,10,10,70,73,7,SENSOR,1,False,32
Lightning7,ST,0.1232876712,20,20,70,73,7,SENSOR,1,False,64
Lightning7,ST,0.6986301370000001,100,100,70,73,7,SENSOR,1,False,319
Lightning7,ST,0.2602739726,30,30,70,73,7,SENSOR,1,False,96
Lightning7,WEASEL,0.2739726027,20,20,70,73,7,SENSOR,1,False,64
Lightning7,WEASEL,0.3287671233,10,10,70,73,7,SENSOR,1,False,32
Lightning7,WEASEL,0.2328767123,30,30,70,73,7,SENSOR,1,False,96
Lightning7,WEASEL,0.7260273973,100,100,70,73,7,SENSOR,1,False,319
Lightning7,CBoss,0.4383561644,30,30,70,73,7,SENSOR,1,False,96
Lightning7,CBoss,0.7397260274,100,100,70,73,7,SENSOR,1,False,319
Lightning7,CBoss,0.3561643836,20,20,70,73,7,SENSOR,1,False,64
Lightning7,CBoss,0.3698630137,10,10,70,73,7,SENSOR,1,False,32
Lightning7,PForest,0.1917808219,30,30,70,73,7,SENSOR,1,False,96
Lightning7,PForest,0.301369863,100,100,70,73,7,SENSOR,1,False,319
Lightning7,PForest,0.1917808219,20,20,70,73,7,SENSOR,1,False,64
Lightning7,PForest,0.1643835616,10,10,70,73,7,SENSOR,1,False,32
Meat,TSF,0.8333333333,20,20,60,60,3,SPECTRO,1,True,90
Meat,TSF,0.9333333333,100,100,60,60,3,SPECTRO,1,True,448
Meat,TSF,0.85,30,30,60,60,3,SPECTRO,1,True,135
Meat,TSF,0.8,10,10,60,60,3,SPECTRO,1,True,45
Meat,ST,0.8166666667,30,30,60,60,3,SPECTRO,1,True,135
Meat,ST,0.9666666667,100,100,60,60,3,SPECTRO,1,True,448
Meat,ST,0.9333333333,20,20,60,60,3,SPECTRO,1,True,90
Meat,ST,0.75,10,10,60,60,3,SPECTRO,1,True,45
Meat,WEASEL,0.85,100,100,60,60,3,SPECTRO,1,True,448
Meat,WEASEL,0.33333333330000003,30,30,60,60,3,SPECTRO,1,True,135
Meat,WEASEL,0.6333333333,10,10,60,60,3,SPECTRO,1,True,45
Meat,WEASEL,0.5,20,20,60,60,3,SPECTRO,1,True,90
Meat,CBoss,0.85,10,10,60,60,3,SPECTRO,1,True,45
Meat,CBoss,0.8833333333000001,100,100,60,60,3,SPECTRO,1,True,448
Meat,CBoss,0.6666666667000001,20,20,60,60,3,SPECTRO,1,True,90
Meat,CBoss,0.8666666667,30,30,60,60,3,SPECTRO,1,True,135
Meat,PForest,0.4,20,20,60,60,3,SPECTRO,1,True,90
Meat,PForest,0.33333333330000003,30,30,60,60,3,SPECTRO,1,True,135
Meat,PForest,0.65,100,100,60,60,3,SPECTRO,1,True,448
Meat,PForest,0.55,10,10,60,60,3,SPECTRO,1,True,45
MoteStrain,TSF,0.8865814696000001,30,32,20,1252,2,SENSOR,1,True,27
MoteStrain,TSF,0.8777955272,20,21,20,1252,2,SENSOR,1,True,18
MoteStrain,TSF,0.8722044728,100,100,20,1252,2,SENSOR,1,True,84
MoteStrain,TSF,0.8722044728,10,10,20,1252,2,SENSOR,1,True,9
MoteStrain,ST,0.7252396166,30,32,20,1252,2,SENSOR,1,True,27
MoteStrain,ST,0.9177316294000001,100,100,20,1252,2,SENSOR,1,True,84
MoteStrain,ST,0.4760383387,20,21,20,1252,2,SENSOR,1,True,18
MoteStrain,ST,0.5455271565,10,10,20,1252,2,SENSOR,1,True,9
MoteStrain,PForest,0.42891373800000004,10,10,20,1252,2,SENSOR,1,True,9
MoteStrain,PForest,0.7795527157000001,20,21,20,1252,2,SENSOR,1,True,18
MoteStrain,PForest,0.7843450479,30,32,20,1252,2,SENSOR,1,True,27
MoteStrain,PForest,0.892172524,100,100,20,1252,2,SENSOR,1,True,84
MoteStrain,WEASEL,0.6637380192,10,10,20,1252,2,SENSOR,1,True,9
MoteStrain,WEASEL,0.9528753994,100,100,20,1252,2,SENSOR,1,True,84
MoteStrain,WEASEL,0.8115015974,30,32,20,1252,2,SENSOR,1,True,27
MoteStrain,WEASEL,0.7795527157000001,20,21,20,1252,2,SENSOR,1,True,18
MoteStrain,CBoss,0.7316293930000001,20,21,20,1252,2,SENSOR,1,True,18
MoteStrain,CBoss,0.46485623000000004,10,10,20,1252,2,SENSOR,1,True,9
MoteStrain,CBoss,0.9448881789,100,100,20,1252,2,SENSOR,1,True,84
MoteStrain,CBoss,0.6182108626,30,32,20,1252,2,SENSOR,1,True,27
OliveOil,TSF,0.8666666667,100,100,30,30,4,SPECTRO,1,False,570
OliveOil,TSF,0.8,20,20,30,30,4,SPECTRO,1,False,114
OliveOil,TSF,0.9,30,30,30,30,4,SPECTRO,1,False,171
OliveOil,TSF,0.7333333333000001,10,10,30,30,4,SPECTRO,1,False,57
OliveOil,ST,0.6666666667000001,10,10,30,30,4,SPECTRO,1,False,57
OliveOil,ST,0.9333333333,20,20,30,30,4,SPECTRO,1,False,114
OliveOil,ST,0.9,30,30,30,30,4,SPECTRO,1,False,171
OliveOil,ST,0.9,100,100,30,30,4,SPECTRO,1,False,570
OliveOil,WEASEL,0.9,100,100,30,30,4,SPECTRO,1,False,570
OliveOil,WEASEL,0.1666666667,20,20,30,30,4,SPECTRO,1,False,114
OliveOil,WEASEL,0.1333333333,10,10,30,30,4,SPECTRO,1,False,57
OliveOil,WEASEL,0.30000000000000004,30,30,30,30,4,SPECTRO,1,False,171
OliveOil,CBoss,0.9333333333,30,30,30,30,4,SPECTRO,1,False,171
OliveOil,CBoss,0.36666666670000003,10,10,30,30,4,SPECTRO,1,False,57
OliveOil,CBoss,0.8666666667,100,100,30,30,4,SPECTRO,1,False,570
OliveOil,CBoss,0.8666666667,20,20,30,30,4,SPECTRO,1,False,114
OliveOil,PForest,0.4,30,30,30,30,4,SPECTRO,1,False,171
OliveOil,PForest,0.2,20,20,30,30,4,SPECTRO,1,False,114
OliveOil,PForest,0.2,10,10,30,30,4,SPECTRO,1,False,57
OliveOil,PForest,0.5666666667,100,100,30,30,4,SPECTRO,1,False,570
Plane,TSF,0.980952381,20,20,105,105,7,SENSOR,1,False,30
Plane,TSF,0.9619047619000001,30,31,105,105,7,SENSOR,1,False,45
Plane,TSF,0.9904761905,100,100,105,105,7,SENSOR,1,False,144
Plane,TSF,0.9142857143,10,10,105,105,7,SENSOR,1,False,15
Plane,ST,0.2476190476,10,10,105,105,7,SENSOR,1,False,15
Plane,ST,1.0,100,100,105,105,7,SENSOR,1,False,144
Plane,ST,0.619047619,30,31,105,105,7,SENSOR,1,False,45
Plane,ST,0.5333333333,20,20,105,105,7,SENSOR,1,False,30
Plane,WEASEL,1.0,100,100,105,105,7,SENSOR,1,False,144
Plane,WEASEL,0.1619047619,10,10,105,105,7,SENSOR,1,False,15
Plane,WEASEL,0.8857142857,30,31,105,105,7,SENSOR,1,False,45
Plane,WEASEL,0.1619047619,20,20,105,105,7,SENSOR,1,False,30
Plane,CBoss,0.2380952381,10,10,105,105,7,SENSOR,1,False,15
Plane,CBoss,0.1619047619,20,20,105,105,7,SENSOR,1,False,30
Plane,CBoss,1.0,100,100,105,105,7,SENSOR,1,False,144
Plane,CBoss,0.44761904760000004,30,31,105,105,7,SENSOR,1,False,45
Plane,PForest,1.0,100,100,105,105,7,SENSOR,1,False,144
Plane,PForest,0.2952380952,20,20,105,105,7,SENSOR,1,False,30
Plane,PForest,0.3523809524,10,10,105,105,7,SENSOR,1,False,15
Plane,PForest,0.5142857143,30,31,105,105,7,SENSOR,1,False,45
PowerCons,TSF,0.7555555556,10,10,180,180,2,DEVICE,1,True,15
PowerCons,TSF,0.9944444444,100,100,180,180,2,DEVICE,1,True,144
PowerCons,TSF,0.7944444444000001,30,31,180,180,2,DEVICE,1,True,45
PowerCons,TSF,0.7666666667,20,20,180,180,2,DEVICE,1,True,30
PowerCons,ST,0.5055555556,20,20,180,180,2,DEVICE,1,True,30
PowerCons,ST,0.6611111111,30,31,180,180,2,DEVICE,1,True,45
PowerCons,ST,0.5555555556,10,10,180,180,2,DEVICE,1,True,15
PowerCons,ST,0.9388888889,100,100,180,180,2,DEVICE,1,True,144
PowerCons,CBoss,0.7722222222,30,31,180,180,2,DEVICE,1,True,45
PowerCons,CBoss,0.9222222222,100,100,180,180,2,DEVICE,1,True,144
PowerCons,CBoss,0.5777777778000001,10,10,180,180,2,DEVICE,1,True,15
PowerCons,CBoss,0.6833333333,20,20,180,180,2,DEVICE,1,True,30
PowerCons,WEASEL,0.9611111111,100,100,180,180,2,DEVICE,1,True,144
PowerCons,WEASEL,0.5611111111,20,20,180,180,2,DEVICE,1,True,30
PowerCons,WEASEL,0.6055555556000001,30,31,180,180,2,DEVICE,1,True,45
PowerCons,WEASEL,0.5388888889,10,10,180,180,2,DEVICE,1,True,15
PowerCons,PForest,0.6444444444,10,10,180,180,2,DEVICE,1,True,15
PowerCons,PForest,0.9944444444,100,100,180,180,2,DEVICE,1,True,144
PowerCons,PForest,0.6833333333,30,31,180,180,2,DEVICE,1,True,45
PowerCons,PForest,0.6222222222,20,20,180,180,2,DEVICE,1,True,30
Rock,TSF,0.56,20,20,20,50,4,SPECTRO,1,True,570
Rock,TSF,0.62,30,30,20,50,4,SPECTRO,1,True,855
Rock,TSF,0.74,100,100,20,50,4,SPECTRO,1,True,2844
Rock,TSF,0.48,10,10,20,50,4,SPECTRO,1,True,285
Rock,ST,0.30000000000000004,30,30,20,50,4,SPECTRO,1,True,855
Rock,ST,0.88,100,100,20,50,4,SPECTRO,1,True,2844
Rock,ST,0.24,20,20,20,50,4,SPECTRO,1,True,570
Rock,ST,0.26,10,10,20,50,4,SPECTRO,1,True,285
Rock,PForest,0.46,100,100,20,50,4,SPECTRO,1,True,2844
Rock,PForest,0.30000000000000004,10,10,20,50,4,SPECTRO,1,True,285
Rock,PForest,0.30000000000000004,20,20,20,50,4,SPECTRO,1,True,570
Rock,PForest,0.26,30,30,20,50,4,SPECTRO,1,True,855
Rock,WEASEL,0.24,10,10,20,50,4,SPECTRO,1,True,285
Rock,WEASEL,0.42,20,20,20,50,4,SPECTRO,1,True,570
Rock,WEASEL,0.8,100,100,20,50,4,SPECTRO,1,True,2844
Rock,WEASEL,0.18,30,30,20,50,4,SPECTRO,1,True,855
Rock,CBoss,0.44,10,10,20,50,4,SPECTRO,1,True,285
Rock,CBoss,0.58,30,30,20,50,4,SPECTRO,1,True,855
Rock,CBoss,0.9,100,100,20,50,4,SPECTRO,1,True,2844
Rock,CBoss,0.44,20,20,20,50,4,SPECTRO,1,True,570
SonyAIBORobotSurface1,TSF,0.7637271215,20,20,20,601,2,SENSOR,1,False,14
SonyAIBORobotSurface1,TSF,0.6938435940000001,100,100,20,601,2,SENSOR,1,False,70
SonyAIBORobotSurface1,TSF,0.7554076539,30,30,20,601,2,SENSOR,1,False,21
SonyAIBORobotSurface1,TSF,0.7038269551,10,10,20,601,2,SENSOR,1,False,7
SonyAIBORobotSurface1,PForest,0.8252911814,100,100,20,601,2,SENSOR,1,False,70
SonyAIBORobotSurface1,PForest,0.8652246256,30,30,20,601,2,SENSOR,1,False,21
SonyAIBORobotSurface1,PForest,0.8369384359,20,20,20,601,2,SENSOR,1,False,14
SonyAIBORobotSurface1,PForest,0.7687188020000001,10,10,20,601,2,SENSOR,1,False,7
SonyAIBORobotSurface1,ST,0.7021630616,30,30,20,601,2,SENSOR,1,False,21
SonyAIBORobotSurface1,ST,0.6738768719,20,20,20,601,2,SENSOR,1,False,14
SonyAIBORobotSurface1,ST,0.9351081531000001,100,100,20,601,2,SENSOR,1,False,70
SonyAIBORobotSurface1,ST,0.42928452580000004,10,10,20,601,2,SENSOR,1,False,7
SonyAIBORobotSurface1,WEASEL,0.8951747088,20,20,20,601,2,SENSOR,1,False,14
SonyAIBORobotSurface1,WEASEL,0.8336106489,100,100,20,601,2,SENSOR,1,False,70
SonyAIBORobotSurface1,WEASEL,0.8785357737,30,30,20,601,2,SENSOR,1,False,21
SonyAIBORobotSurface1,WEASEL,0.4958402662,10,10,20,601,2,SENSOR,1,False,7
SonyAIBORobotSurface1,CBoss,0.4675540765,100,100,20,601,2,SENSOR,1,False,70
SonyAIBORobotSurface1,CBoss,0.8019966722,20,20,20,601,2,SENSOR,1,False,14
SonyAIBORobotSurface1,CBoss,0.4475873544,30,30,20,601,2,SENSOR,1,False,21
SonyAIBORobotSurface1,CBoss,0.5024958403,10,10,20,601,2,SENSOR,1,False,7
SonyAIBORobotSurface2,TSF,0.7523609654000001,10,10,27,953,2,SENSOR,1,True,7
SonyAIBORobotSurface2,TSF,0.7932843652,20,21,27,953,2,SENSOR,1,True,14
SonyAIBORobotSurface2,TSF,0.7943336831000001,30,32,27,953,2,SENSOR,1,True,21
SonyAIBORobotSurface2,TSF,0.7817418678,100,100,27,953,2,SENSOR,1,True,65
SonyAIBORobotSurface2,ST,0.9139559286000001,100,100,27,953,2,SENSOR,1,True,65
SonyAIBORobotSurface2,ST,0.6169989507,10,10,27,953,2,SENSOR,1,True,7
SonyAIBORobotSurface2,ST,0.6285414481,30,32,27,953,2,SENSOR,1,True,21
SonyAIBORobotSurface2,ST,0.6169989507,20,21,27,953,2,SENSOR,1,True,14
SonyAIBORobotSurface2,PForest,0.7429171039,30,32,27,953,2,SENSOR,1,True,21
SonyAIBORobotSurface2,PForest,0.8803777545,100,100,27,953,2,SENSOR,1,True,65
SonyAIBORobotSurface2,PForest,0.6149003148000001,10,10,27,953,2,SENSOR,1,True,7
SonyAIBORobotSurface2,PForest,0.6054564533,20,21,27,953,2,SENSOR,1,True,14
SonyAIBORobotSurface2,WEASEL,0.7649527807000001,20,21,27,953,2,SENSOR,1,True,14
SonyAIBORobotSurface2,WEASEL,0.7271773347,10,10,27,953,2,SENSOR,1,True,7
SonyAIBORobotSurface2,WEASEL,0.9129066107,30,32,27,953,2,SENSOR,1,True,21
SonyAIBORobotSurface2,WEASEL,0.9464847849,100,100,27,953,2,SENSOR,1,True,65
SonyAIBORobotSurface2,CBoss,0.9139559286000001,100,100,27,953,2,SENSOR,1,True,65
SonyAIBORobotSurface2,CBoss,0.6096537251,20,21,27,953,2,SENSOR,1,True,14
SonyAIBORobotSurface2,CBoss,0.3997901364,10,10,27,953,2,SENSOR,1,True,7
SonyAIBORobotSurface2,CBoss,0.8677859391,30,32,27,953,2,SENSOR,1,True,21
Strawberry,TSF,0.9486486486000001,100,100,613,370,2,SPECTRO,1,True,235
Strawberry,TSF,0.9567567568,30,30,613,370,2,SPECTRO,1,True,72
Strawberry,TSF,0.8945945946,10,10,613,370,2,SPECTRO,1,True,24
Strawberry,TSF,0.9135135135,20,20,613,370,2,SPECTRO,1,True,48
Strawberry,ST,0.7405405405000001,10,10,613,370,2,SPECTRO,1,True,24
Strawberry,ST,0.7810810811000001,30,30,613,370,2,SPECTRO,1,True,72
Strawberry,ST,0.9405405405,100,100,613,370,2,SPECTRO,1,True,235
Strawberry,ST,0.7702702703000001,20,20,613,370,2,SPECTRO,1,True,48
Strawberry,WEASEL,0.9648648649,100,100,613,370,2,SPECTRO,1,True,235
Strawberry,WEASEL,0.6432432432,20,20,613,370,2,SPECTRO,1,True,48
Strawberry,WEASEL,0.6432432432,30,30,613,370,2,SPECTRO,1,True,72
Strawberry,WEASEL,0.6432432432,10,10,613,370,2,SPECTRO,1,True,24
Strawberry,CBoss,0.9648648649,30,30,613,370,2,SPECTRO,1,True,72
Strawberry,CBoss,0.6432432432,10,10,613,370,2,SPECTRO,1,True,24
Strawberry,CBoss,0.9756756757,100,100,613,370,2,SPECTRO,1,True,235
Strawberry,CBoss,0.6432432432,20,20,613,370,2,SPECTRO,1,True,48
Strawberry,PForest,0.9216216216,100,100,613,370,2,SPECTRO,1,True,235
Strawberry,PForest,0.6432432432,20,20,613,370,2,SPECTRO,1,True,48
Strawberry,PForest,0.6432432432,30,30,613,370,2,SPECTRO,1,True,72
Strawberry,PForest,0.6432432432,10,10,613,370,2,SPECTRO,1,True,24
Trace,TSF,0.99,100,100,100,100,4,SENSOR,1,True,275
Trace,TSF,0.67,10,10,100,100,4,SENSOR,1,True,28
Trace,TSF,0.68,30,30,100,100,4,SENSOR,1,True,84
Trace,TSF,0.71,20,20,100,100,4,SENSOR,1,True,56
Trace,ST,0.19,30,30,100,100,4,SENSOR,1,True,84
Trace,ST,0.22,20,20,100,100,4,SENSOR,1,True,56
Trace,ST,0.30000000000000004,10,10,100,100,4,SENSOR,1,True,28
Trace,ST,1.0,100,100,100,100,4,SENSOR,1,True,275
Trace,WEASEL,0.24,10,10,100,100,4,SENSOR,1,True,28
Trace,WEASEL,1.0,100,100,100,100,4,SENSOR,1,True,275
Trace,WEASEL,0.4,30,30,100,100,4,SENSOR,1,True,84
Trace,WEASEL,0.33,20,20,100,100,4,SENSOR,1,True,56
Trace,CBoss,1.0,100,100,100,100,4,SENSOR,1,True,275
Trace,CBoss,0.41000000000000003,20,20,100,100,4,SENSOR,1,True,56
Trace,CBoss,0.31,10,10,100,100,4,SENSOR,1,True,28
Trace,CBoss,0.7000000000000001,30,30,100,100,4,SENSOR,1,True,84
Trace,PForest,0.53,100,100,100,100,4,SENSOR,1,True,275
Trace,PForest,0.48,30,30,100,100,4,SENSOR,1,True,84
Trace,PForest,0.52,10,10,100,100,4,SENSOR,1,True,28
Trace,PForest,0.5,20,20,100,100,4,SENSOR,1,True,56
TwoLeadECG,TSF,0.7462686567,100,100,23,1139,2,ECG,1,True,82
TwoLeadECG,TSF,0.7357330992000001,10,10,23,1139,2,ECG,1,True,9
TwoLeadECG,TSF,0.9455662862,30,31,23,1139,2,ECG,1,True,26
TwoLeadECG,TSF,0.8349429324000001,20,21,23,1139,2,ECG,1,True,18
TwoLeadECG,ST,0.5188762072,20,21,23,1139,2,ECG,1,True,18
TwoLeadECG,ST,0.5004389816,10,10,23,1139,2,ECG,1,True,9
TwoLeadECG,ST,0.9982440737,100,100,23,1139,2,ECG,1,True,82
TwoLeadECG,ST,0.6189640035,30,31,23,1139,2,ECG,1,True,26
TwoLeadECG,CBoss,0.6453028973,30,31,23,1139,2,ECG,1,True,26
TwoLeadECG,CBoss,0.5057067603000001,10,10,23,1139,2,ECG,1,True,9
TwoLeadECG,CBoss,0.5004389816,20,21,23,1139,2,ECG,1,True,18
TwoLeadECG,CBoss,0.9964881475,100,100,23,1139,2,ECG,1,True,82
TwoLeadECG,PForest,0.6663740123,30,31,23,1139,2,ECG,1,True,26
TwoLeadECG,PForest,0.6251097454,10,10,23,1139,2,ECG,1,True,9
TwoLeadECG,PForest,0.9438103600000001,100,100,23,1139,2,ECG,1,True,82
TwoLeadECG,PForest,0.6654960492,20,21,23,1139,2,ECG,1,True,18
TwoLeadECG,WEASEL,0.5294117647000001,20,21,23,1139,2,ECG,1,True,18
TwoLeadECG,WEASEL,0.6374012291000001,30,31,23,1139,2,ECG,1,True,26
TwoLeadECG,WEASEL,0.9982440737,100,100,23,1139,2,ECG,1,True,82
TwoLeadECG,WEASEL,0.5004389816,10,10,23,1139,2,ECG,1,True,9
Wafer,TSF,0.9944841012000001,30,30,1000,6164,2,SENSOR,1,False,47
Wafer,TSF,0.9944841012000001,100,100,1000,6164,2,SENSOR,1,False,152
Wafer,TSF,0.9957819598000001,10,10,1000,6164,2,SENSOR,1,False,16
Wafer,TSF,0.9923750811000001,20,21,1000,6164,2,SENSOR,1,False,32
Wafer,ST,1.0,20,21,1000,6164,2,SENSOR,1,False,32
Wafer,ST,0.9959441921000001,30,30,1000,6164,2,SENSOR,1,False,47
Wafer,ST,0.9505191434,10,10,1000,6164,2,SENSOR,1,False,16
Wafer,ST,1.0,100,100,1000,6164,2,SENSOR,1,False,152
Wafer,WEASEL,0.8921155094000001,30,30,1000,6164,2,SENSOR,1,False,47
Wafer,WEASEL,0.9996755354,100,100,1000,6164,2,SENSOR,1,False,152
Wafer,WEASEL,0.9944841012000001,10,10,1000,6164,2,SENSOR,1,False,16
Wafer,WEASEL,0.8926022064,20,21,1000,6164,2,SENSOR,1,False,32
Wafer,CBoss,0.996917586,100,100,1000,6164,2,SENSOR,1,False,152
Wafer,CBoss,0.9317001947,10,10,1000,6164,2,SENSOR,1,False,16
Wafer,CBoss,0.9876703439000001,30,30,1000,6164,2,SENSOR,1,False,47
Wafer,CBoss,0.9842634653000001,20,21,1000,6164,2,SENSOR,1,False,32
Wafer,PForest,0.9101232966,30,30,1000,6164,2,SENSOR,1,False,47
Wafer,PForest,0.9948085659,100,100,1000,6164,2,SENSOR,1,False,152
Wafer,PForest,0.9368916288,10,10,1000,6164,2,SENSOR,1,False,16
Wafer,PForest,0.95798183,20,21,1000,6164,2,SENSOR,1,False,32
Wine,TSF,0.5925925926,30,30,57,54,2,SPECTRO,1,True,72
Wine,TSF,0.5925925926,20,20,57,54,2,SPECTRO,1,True,48
Wine,TSF,0.7222222222,100,100,57,54,2,SPECTRO,1,True,234
Wine,TSF,0.6666666667000001,10,10,57,54,2,SPECTRO,1,True,24
Wine,ST,0.5740740741,20,20,57,54,2,SPECTRO,1,True,48
Wine,ST,0.7592592593,100,100,57,54,2,SPECTRO,1,True,234
Wine,ST,0.5925925926,10,10,57,54,2,SPECTRO,1,True,24
Wine,ST,0.6481481481,30,30,57,54,2,SPECTRO,1,True,72
Wine,WEASEL,0.5,10,10,57,54,2,SPECTRO,1,True,24
Wine,WEASEL,0.5,20,20,57,54,2,SPECTRO,1,True,48
Wine,WEASEL,0.7962962963,100,100,57,54,2,SPECTRO,1,True,234
Wine,WEASEL,0.5740740741,30,30,57,54,2,SPECTRO,1,True,72
Wine,CBoss,0.7407407407000001,100,100,57,54,2,SPECTRO,1,True,234
Wine,CBoss,0.7222222222,30,30,57,54,2,SPECTRO,1,True,72
Wine,CBoss,0.537037037,20,20,57,54,2,SPECTRO,1,True,48
Wine,CBoss,0.6296296296,10,10,57,54,2,SPECTRO,1,True,24
Wine,PForest,0.5555555556,20,20,57,54,2,SPECTRO,1,True,48
Wine,PForest,0.7037037037,30,30,57,54,2,SPECTRO,1,True,72
Wine,PForest,0.48148148150000003,10,10,57,54,2,SPECTRO,1,True,24
Wine,PForest,0.5925925926,100,100,57,54,2,SPECTRO,1,True,234
